,ImageId,width,height,x_center,y_center,classes,image_id
0,,0.3632305194805195,0.1551556420233463,0.4096996753246753,0.609192607003891,0,CA_CAM00
1,,0.22443181818181818,0.16245136186770429,0.3942775974025974,0.828307392996109,1,CA_CAM00
2,,0.09537337662337662,0.08073929961089495,0.7327516233766234,0.566147859922179,2,CA_CAM00
3,,0.03977272727272727,0.06031128404669261,0.6359577922077922,0.5277237354085603,3,CA_CAM00
4,,0.3210227272727273,0.06566147859922179,0.40198863636363635,0.7098735408560312,4,CA_CAM00
5,,0.07589285714285714,0.11624513618677043,0.4174107142857143,0.7653210116731517,5,CA_CAM00
6,,0.31412337662337664,0.17801556420233464,0.5089285714285714,0.8107976653696498,47,CA_CAM01
7,,0.1075487012987013,0.11575875486381323,0.658887987012987,0.5121595330739299,8,CA_CAM01
8,,0.06858766233766234,0.2480544747081712,0.627637987012987,0.4148832684824903,4,CA_CAM01
9,,0.14123376623376624,0.303988326848249,0.5357142857142857,0.3110408560311284,0,CA_CAM01
10,,0.43262987012987014,0.27675097276264593,0.4967532467532468,0.7628891050583657,48,CA_CAM01
11,,0.10470779220779221,0.10992217898832685,0.650974025974026,0.23394941634241245,5,CA_CAM01
12,,0.1148538961038961,0.22908560311284046,0.3078327922077922,0.3032587548638132,1,CA_CAM02
13,,0.0929383116883117,0.16974708171206226,0.5204951298701299,0.6062743190661478,2,CA_CAM02
14,,0.14894480519480519,0.11381322957198443,0.7019074675324676,0.6026264591439688,10,CA_CAM02
15,,0.14407467532467533,0.11138132295719845,0.513189935064935,0.7123054474708171,11,CA_CAM02
16,,0.056006493506493504,0.046206225680933855,0.546672077922078,0.4088035019455253,3,CA_CAM02
17,,0.49188311688311687,0.26799610894941633,0.5117694805194806,0.648103112840467,12,CA_CAM02
18,,0.27637987012987014,0.12889105058365757,0.5464691558441559,0.4768968871595331,13,CA_CAM02
19,,0.061282467532467536,0.12889105058365757,0.3731737012987013,0.35141050583657585,14,CA_CAM02
20,,0.13433441558441558,0.2772373540856031,0.4742288961038961,0.24075875486381323,0,CA_CAM02
21,,0.10714285714285714,0.08511673151750973,0.8238636363636364,0.3946984435797665,2,CA_CAM03
22,,0.2739448051948052,0.28891050583657585,0.43892045454545453,0.48200389105058367,1,CA_CAM03
23,,0.10592532467532467,0.1517509727626459,0.429586038961039,0.7485408560311284,15,CA_CAM03
24,,0.3092532467532468,0.16001945525291827,0.4042207792207792,0.5464494163424124,8,CA_CAM03
